ID,Route
36040,"Tianjin,Qingdao,Busan,Shanghai,Guangzhou,Tanjung Pelepas,Chennai,Krishnapatnam,Visakhapatnam,Tanjung Pelepas,Tianjin"
36041,"Tianjin,Dalian,Qingdao,Busan,Kwangyang,Ningbo-Zhoushan,Guangzhou,Singapore,Tanjung Pelepas,Colombo,Mumbai,Mundra,Singapore,Tianjin"
36044,"Shanghai,Ningbo-Zhoushan,Xiamen,Hong Kong,Shenzhen,Singapore,Colombo,Mumbai,Pipavav,Colombo,Port Kelang,Singapore,Hong Kong,Shanghai"
36050,"Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Colombo,Jebel Ali,Dammam,Umm Qasr,Doha,Shanghai"
36052,"Ningbo-Zhoushan,Shanghai,Guangzhou,Shenzhen,Singapore,Colombo,Salalah,Djibouti,King Abdullah,Sokhna,Aqaba,King Abdullah,Salalah,Singapore,Ningbo-Zhoushan"
36076,"Busan,Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Port Kelang,Colombo,Cochin,Mumbai,Mundra,Jebel Ali,Bandar Abbas,Bandar Imam Khomeini,Jebel Ali,Hazira,Cochin,Port Kelang,Hong Kong,Busan"
36077,"Kwangyang,Busan,Ningbo-Zhoushan,Shenzhen,Singapore,Port Kelang,Mumbai,Mundra,Karachi,Port Kelang,Hong Kong,Qingdao,Kwangyang"
36101,"Tianjin,Dalian,Busan,Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Khor Fakkan,Jebel Ali,Abu Dhabi,Sohar,Port Kelang,Singapore,Shenzhen,Tianjin"
36102,"Qingdao,Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Jebel Ali,Sohar,Doha,Dammam,Jubail,Singapore,Ningbo-Zhoushan,Qingdao"
36103,"Lianyungang,Qingdao,Ningbo-Zhoushan,Hong Kong,Shenzhen,Singapore,Jebel Ali,Bahrain,Dammam,Jubail,Port Kelang,Lianyungang"
36104,"Shanghai,Ningbo-Zhoushan,Taipei,Shenzhen,Tanjung Pelepas,Port Kelang,Jebel Ali,Bandar Abbas,Port Kelang,Hong Kong,Shanghai"
36105,"Shanghai,Ningbo-Zhoushan,Guangzhou,Singapore,Jebel Ali,Abu Dhabi,Dammam,Singapore,Guangzhou,Shanghai"
36111,"Shanghai,Ningbo-Zhoushan,Taipei,Shenzhen,Tanjung Pelepas,Singapore,Jeddah,Sokhna,Aqaba,Jeddah,Singapore,Shanghai"
36112,"Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Singapore,Djibouti,Jeddah,Aqaba,Port Sudan,Djibouti,Port Kelang,Shanghai"
36145,"Busan,Qingdao,Shanghai,Shenzhen,Singapore,Port Kelang,Chennai,Visakhapatnam,Port Kelang,Singapore,Manila,Busan"
36183,"Tianjin,Qingdao,Shanghai,Ningbo-Zhoushan,Guangzhou,Shenzhen,Singapore,Djibouti,Jeddah,Sokhna,Aqaba,Djibouti,Singapore,Ningbo-Zhoushan,Tianjin"
